CIG,confidence,cds_confirmed,esiti_found,sources
9707069EBC,MEDIUM,False,respinge,sentenze
97070921BB,MEDIUM,False,respinge,sentenze
9707299C8A,MEDIUM,False,respinge,sentenze
971010474E,MEDIUM,False,respinge sui motivi aggiunti,sentenze
9710113EB9,MEDIUM,False,respinge sui motivi aggiunti,sentenze
9714185F0B,HIGH,True,"dichiara improcedibile, respinge",sentenze
9716711394,MEDIUM,False,respinge,sentenze
971880539A,MEDIUM,False,respinge,ordinanze
9718813A32,MEDIUM,False,respinge,ordinanze
97190784E3,HIGH,True,respinge,ordinanze
9719471932,MEDIUM,False,respinge,sentenze
9722462D71,HIGH,True,respinge,sentenze
972377267F,MEDIUM,False,respinge,sentenze
9724286EA7,HIGH,True,respinge,sentenze
9725657A0B,MEDIUM,False,"dichiara inammissibile, respinge",sentenze
9728214826,HIGH,True,respinge,sentenze
9728311832,MEDIUM,False,respinge,sentenze
97283811F8,MEDIUM,False,respinge,sentenze
97288737F9,MEDIUM,False,respinge,sentenze
97299890EF,MEDIUM,False,"dichiara estinto, dichiara improcedibile",sentenze
97312322B0,HIGH,True,respinge,"ordinanze, sentenze"
97326515AE,MEDIUM,False,dichiara improcedibile,sentenze
9733808079,MEDIUM,False,dichiara inammissibile,sentenze
9735594253,HIGH,True,respinge,sentenze
9738861A54,HIGH,True,respinge,"ordinanze, sentenze"
9739858117,HIGH,True,"dichiara improcedibile, respinge","ordinanze, sentenze"
97406617BD,MEDIUM,False,respinge,sentenze
9741426F07,MEDIUM,False,dichiara improcedibile,sentenze
9741517A21,HIGH,True,respinge,"ordinanze, sentenze"
9741576AD1,HIGH,True,respinge,sentenze
9741821501,MEDIUM,False,dichiara inammissibile,sentenze
97418848FD,HIGH,True,respinge,sentenze
9742448A6A,HIGH,True,respinge,sentenze
9742484820,HIGH,True,respinge,sentenze
9742494063,HIGH,True,respinge,sentenze
9742954BFA,HIGH,True,respinge,sentenze
97429909B0,MEDIUM,False,respinge,sentenze
97435339C9,MEDIUM,False,dichiara inammissibile,sentenze
9746123321,MEDIUM,False,respinge,sentenze
9746738EA1,HIGH,True,respinge,sentenze
97478758EB,HIGH,True,"dichiara improcedibile, respinge","ordinanze, sentenze"
9749120C52,MEDIUM,False,dichiara estinto,sentenze
97508922A2,MEDIUM,False,respinge,sentenze
9751094952,MEDIUM,False,respinge,ordinanze
9752043876,MEDIUM,False,respinge,sentenze
97534544DC,HIGH,True,"respinge, respinge sui motivi aggiunti","ordinanze, sentenze"
975350709A,MEDIUM,False,respinge,sentenze
9756203169,HIGH,True,respinge,sentenze
9756214A7A,HIGH,True,respinge,sentenze
9756587E48,HIGH,True,respinge,sentenze
97571574AC,HIGH,True,respinge,sentenze
9759104B61,HIGH,True,respinge,sentenze
975954574F,MEDIUM,False,respinge,sentenze
9761085E26,MEDIUM,False,respinge,sentenze
9762927E37,MEDIUM,False,respinge,sentenze
9763762F47,MEDIUM,False,respinge,sentenze
97662536ED,HIGH,True,respinge,sentenze
9766806F44,HIGH,True,respinge,sentenze
976875794A,MEDIUM,False,respinge,sentenze
9770116AC5,MEDIUM,False,respinge,ordinanze
97705798DA,HIGH,True,respinge,sentenze
977170493B,MEDIUM,False,"dichiara improcedibile, respinge",sentenze
9777137CAE,MEDIUM,False,respinge,sentenze
9777818EA8,HIGH,True,respinge,sentenze
9779674A48,HIGH,True,respinge,sentenze
978117729B,MEDIUM,False,respinge,sentenze
978255863D,MEDIUM,False,respinge,ordinanze
97829211CD,MEDIUM,False,respinge,sentenze
97833113A3,MEDIUM,False,respinge,sentenze
978682142E,MEDIUM,False,dichiara irricevibile,sentenze
97868858FD,HIGH,True,respinge,sentenze
9788759378,MEDIUM,False,respinge,sentenze
97897705C5,MEDIUM,False,dichiara irricevibile,sentenze
9790267FE5,MEDIUM,False,respinge,sentenze
979400194C,HIGH,True,respinge,sentenze
9794099A2B,MEDIUM,False,dichiara improcedibile,sentenze
97945194C5,MEDIUM,False,dichiara inammissibile,sentenze
9797032E8D,HIGH,True,respinge,sentenze
9798872CF8,HIGH,True,respinge sui motivi aggiunti,sentenze
9800374478,MEDIUM,False,respinge,sentenze
980169783D,MEDIUM,False,"dichiara improcedibile, respinge",sentenze
9802965E9E,HIGH,True,"dichiara improcedibile, respinge",sentenze
98048870B8,MEDIUM,False,respinge,sentenze
9806291754,HIGH,True,respinge,sentenze
