cig,label,score_raw_final,score_calib_final,rank_pct_global,rank_pct_within_U
0242089229,,0.0089903598398977,0.3447508672567463,48.11,50.03
0239158F68,,0.0109599857784408,0.3461864517350316,58.92,61.24
0228333A57,,0.0320490818824973,0.3617290699078049,86.0,88.97
0231843AE2,,0.0169172203246586,0.3505454458042121,73.77,76.65
0431287549,,0.0107885166494874,0.3460613626656337,58.43,60.74
0236494903,,0.0173712253976997,0.3508786842402639,74.79,77.69
023371755D,,0.016253052270454,0.3500582109524119,71.99,74.81
0242373C83,,0.0181017597837386,0.3514151996655101,76.04,78.98
0238857706,,0.0134510403508353,0.3480061021562642,65.43,68.0
0229633B22,,0.0266761943692904,0.3577401711282907,83.47,86.43
023292796E,,0.0151305656266842,0.3492354640431649,69.39,72.11
0225414184,,0.0471823407101386,0.3730655902740472,90.66,93.48
023763134D,,0.0952095142180424,0.4099239728642667,96.49,98.38
0240435D39,,0.0121642618319673,0.347065586061872,62.31,64.77
02322098EB,,0.0132004908699044,0.3478228804454003,64.95,67.5
0239609399,,0.0154576538391928,0.349475116825183,70.04,72.78
02318039E0,,0.2487902151469681,0.5326443533602703,98.93,99.85
0225080DE0,,0.0114378988966325,0.3465352080920611,60.53,62.92
023185659E,,0.014348155242092,0.3486625125423629,67.41,70.04
023152761E,,0.0943549217103145,0.4092578279529514,96.45,98.35
0238563469,,0.0211421399285189,0.3536521222017741,79.78,82.75
0240917AFC,,0.0427584783889727,0.3697365231931526,89.78,92.62
0229267D19,,0.036923548913026,0.3653645148217348,87.99,90.87
0239363896,,0.0136313362971392,0.3481379767307321,65.8,68.38
02542895EA,,0.0179151986836369,0.3512781506394699,75.72,78.65
1390583962,,0.0200972576519066,0.3528826341097025,78.8,81.77
0242160CBD,,0.0391580609224037,0.3670362183084983,88.67,91.56
0249803FF0,,0.0195924880962512,0.3525111768739326,78.19,81.15
05792593A5,,0.0094047947179375,0.3450526987141721,51.88,53.95
0244921333,,0.0205542358351115,0.3532190753456281,79.26,82.24
0221974ABA,,0.0090823942944459,0.3448178848197176,49.5,51.48
0255288E4E,1.0,0.511719189374867,0.7267654848073087,99.62,
0249606D5F,,0.0271249317731831,0.3580725752541892,83.73,86.7
0251356188,,0.1049880484321947,0.4175691956057319,96.93,98.72
0249395F3F,1.0,0.3417282001166506,0.6059534980594418,99.29,
0182904925,,0.0149000467204605,0.3490666119436785,68.77,71.46
02451353CC,,0.0089674625965432,0.3447341949223375,48.04,49.96
02499866F7,,0.0371914213564557,0.365564747790229,88.05,90.93
04312663F5,,0.0103824963739643,0.3457652502266857,56.72,58.97
0279404B76,,0.0111285221297366,0.346309422030869,59.47,61.82
0265217FF9,,0.1042068326311353,0.4169569018813636,96.89,98.7
01933136ED,,0.0072257097435849,0.3434670823036559,17.56,18.27
0257760646,,0.0090472206095958,0.3447922713501788,48.21,50.13
0252555EF6,,0.0164810975179231,0.3502254701362156,72.75,75.6
0238661548,,0.0509090559110938,0.3758794170530343,91.36,94.11
0260152C35,,0.0201976125675456,0.3529565059677845,78.94,81.91
0265948B38,,0.0341337323889846,0.3632819222510157,86.83,89.78
0261811544,,0.0248960868540949,0.3564228989419177,82.58,85.54
0260015B27,,0.0108158806242371,0.3460813236316902,58.51,60.82
025892038A,,0.0099201741357197,0.3454282220474,54.84,57.02
02608994A9,,0.0096823837760944,0.3452549357457701,53.35,55.47
0261134696,,0.0402260601986774,0.367836353761574,89.01,91.88
0258687343,,0.0114911705799295,0.3465740932430264,60.59,62.98
0262628779,,0.0602834263690419,0.3829942426240489,93.12,95.74
02609330B9,,0.0104093996211748,0.3457848671922575,57.0,59.26
026231552E,,0.0145080168090515,0.3487795421156938,67.87,70.53
025228502B,,0.0112106964119025,0.3463693868456122,59.65,62.0
025769724A,,0.057724468907162,0.3810469577249,92.71,95.38
0270678A8A,,0.019042172414298,0.3521064055823701,77.5,80.46
0265602DB0,1.0,0.2745175768303384,0.5532205081290905,99.0,
02671814BB,,0.0093745190773613,0.3450306448382985,51.73,53.79
0278122986,,0.0142111918464057,0.3485622605091238,66.95,69.57
02708020E1,,0.0193660766614131,0.3523446197824241,77.9,80.85
0266686C3C,,0.0084505110291328,0.3443578850210117,45.92,47.75
0271066ABA,,0.0126074619933277,0.3473893900622562,63.44,65.94
02683032A3,,0.0199335966212648,0.3527621773224377,78.57,81.54
0431488B26,,0.0098873817521148,0.3454043226279975,54.64,56.82
0267365C90,,0.031379984065871,0.3612312700191513,85.63,88.59
0270101E61,,0.0170432072296996,0.3506379052367673,74.11,77.0
0258949B76,,0.0623484974217068,0.384568441511571,93.4,95.99
0265941573,,0.1559545758837848,0.457979952321195,98.14,99.52
00488242D6,,0.0809405402570808,0.3988465527155653,95.47,97.54
02654819D7,,0.0552533330282671,0.3791701248531074,92.21,94.95
0270736A67,,0.0123011553288942,0.347165585969307,62.71,65.18
02875952E6,,0.0134022421568091,0.3479704135060228,65.26,67.82
02629988CE,,0.0698705039988939,0.3903226995519616,94.48,96.86
0186494BB4,,0.0539132261136327,0.3781538170899822,91.92,94.66
00829650E2,,0.0590271046708196,0.3820377483659976,92.88,95.53
02860041F7,,0.1301235326885259,0.4373953065127069,97.65,99.22
02807588D2,,0.0331843912708902,0.3625744040249996,86.5,89.44
02814579A7,,0.0536433976958505,0.3779493141925351,91.84,94.58
028238142B,,0.0215166669539235,0.353928122027114,80.18,83.13
02927332E9,,0.0187931424175059,0.351923307386798,77.17,80.12
